id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
3882729,BTCUSDT,240,240,1584216000,1584216000,5094.18,5353.0,5389.0,5047.0,5156.0,26265592.08
3883214,BTCUSDT,240,240,1584230400,1584230400,5058.7,5156.0,5233.0,5068.0,5149.0,26047246.3
3883739,BTCUSDT,240,240,1584244800,1584244800,5055.81,5149.0,5305.0,5149.0,5250.0,26543002.5
3884237,BTCUSDT,240,240,1584259200,1584259200,4575.552,5250.0,5440.5,5181.0,5397.0,24694254.144
3884751,BTCUSDT,240,240,1584273600,1584273600,4988.56,5397.0,5553.5,5226.0,5304.0,26459322.24
3885245,BTCUSDT,240,240,1584288000,1584288000,5091.42,5304.0,5350.0,5223.0,5290.0,26933611.8
3885759,BTCUSDT,240,240,1584302400,1584302400,5314.64,5290.0,5905.0,5157.0,5341.0,28385492.24
3886278,BTCUSDT,240,240,1584316800,1584316800,4880.673,5341.0,5341.0,5159.0,5242.0,25584487.866
3886778,BTCUSDT,240,240,1584331200,1584331200,8519.518,5242.0,5268.0,4726.0,4800.5,40897946.159
3887309,BTCUSDT,240,240,1584345600,1584345600,7977.717,4800.5,4913.0,4000.0,4542.0,36234790.614
3887823,BTCUSDT,240,240,1584360000,1584360000,4390.094,4542.0,20001.0,4497.0,5148.0,22600203.912
3888434,BTCUSDT,240,240,1584374400,1584374400,5124.91,5148.0,5148.0,4807.0,4897.0,25096684.27
3888932,BTCUSDT,240,240,1584388800,1584388800,5101.138,4897.0,5023.5,4810.0,5008.0,25546499.104
3889430,BTCUSDT,240,240,1584403200,1584403200,5271.648,5008.0,5359.0,4896.0,5285.0,27860659.68
3889948,BTCUSDT,240,240,1584417600,1584417600,5011.485,5285.0,5380.0,5187.5,5325.5,26688663.3675
3890529,BTCUSDT,240,240,1584432000,1584432000,4903.152,5325.5,5396.0,5135.0,5236.0,25672903.872
3891073,BTCUSDT,240,240,1584446400,1584446400,7235.633,5236.0,5345.0,5110.0,5338.0,38623808.954
3891630,BTCUSDT,240,240,1584460800,1584460800,5116.98,5338.0,5432.0,5259.0,5345.0,27350258.1
3892126,BTCUSDT,240,240,1584475200,1584475200,5046.582,5345.0,5485.0,5292.0,5299.0,26741838.018
3892635,BTCUSDT,240,240,1584489600,1584489600,6257.955,5299.0,5380.0,5243.0,5363.0,33561412.665
3893139,BTCUSDT,240,240,1584504000,1584504000,5508.646,5363.0,5399.0,5110.0,5129.0,28253845.334
3893649,BTCUSDT,240,240,1584518400,1584518400,4531.727,5129.0,5202.0,5001.0,5108.0,23148061.516
3894188,BTCUSDT,240,240,1584532800,1584532800,5173.609,5108.0,5357.0,5000.5,5304.0,27440822.136
3894669,BTCUSDT,240,240,1584547200,1584547200,5187.73,5304.0,5310.0,5113.0,5297.5,27481999.675
3895186,BTCUSDT,240,240,1584561600,1584561600,4717.92,5297.5,5378.0,5238.0,5372.0,25344666.24
3895676,BTCUSDT,240,240,1584576000,1584576000,5197.191,5372.0,5400.5,5220.0,5256.0,27316435.896
3896197,BTCUSDT,240,240,1584590400,1584590400,11393.405,5256.0,5701.0,5247.5,5389.0,61399059.545
3896701,BTCUSDT,240,240,1584604800,1584604800,4732.004,5389.0,5611.5,5340.5,5586.0,26432974.344
3897257,BTCUSDT,240,240,1584619200,1584619200,4839.348,5586.0,5890.0,5582.0,5867.0,28392454.716
3897785,BTCUSDT,240,240,1584633600,1584633600,5127.33,5867.0,6307.5,5789.5,6178.0,31676644.74
3898287,BTCUSDT,240,240,1584648000,1584648000,5310.502,6178.0,6367.5,6112.5,6139.5,32603827.029
3898796,BTCUSDT,240,240,1584662400,1584662400,6272.952,6139.5,6215.5,4621.5,6123.0,38409285.096
3899310,BTCUSDT,240,240,1584676800,1584676800,5938.253,6123.0,6299.5,6080.0,6289.5,37348642.2435
3899816,BTCUSDT,240,240,1584691200,1584691200,8702.924,6289.5,6901.0,6264.5,6656.0,57926662.144
3900354,BTCUSDT,240,240,1584705600,1584705600,11441.465,6656.0,6705.5,6431.5,6605.5,75576597.0575
3900897,BTCUSDT,240,240,1584720000,1584720000,8420.879,6605.5,6657.0,6185.5,6185.5,52087347.0545
3901423,BTCUSDT,240,240,1584734400,1584734400,8657.739,6185.5,6361.5,5663.0,6205.5,53725599.3645
3901966,BTCUSDT,240,240,1584748800,1584748800,4695.812,6205.5,6369.0,6006.5,6249.0,29344129.188
3902557,BTCUSDT,240,240,1584763200,1584763200,4584.09,6249.0,6309.5,6030.0,6149.5,28189861.455
3903178,BTCUSDT,240,240,1584777600,1584777600,4488.465,6149.5,6180.5,5842.0,6051.0,27159701.715
3903755,BTCUSDT,240,240,1584792000,1584792000,4377.157,6051.0,6213.5,6046.0,6196.0,27120864.772
3904342,BTCUSDT,240,240,1584806400,1584806400,4214.999,6196.0,6209.0,6040.0,6195.5,26114026.3045
