,start_at,volume,open,high,low,close,turnover,year,month,day,hour,weekday
1023,1582272000,181.957,9677.0,9703.5,9630.0,9703.5,1765619.7495,2020,2,21,16,4.0
1024,1582286400,512.63,9703.5,9740.0,9696.0,9721.5,4983532.545,2020,2,21,20,4.0
1025,1582300800,218.672,9721.5,9721.5,9670.0,9683.0,2117400.976,2020,2,22,0,5.0
1026,1582315200,708.129,9683.0,9702.0,9609.5,9680.5,6855042.7845,2020,2,22,4,5.0
1027,1582329600,85.39,9680.5,9692.5,9645.0,9671.5,825849.385,2020,2,22,8,5.0
1028,1582344000,249.873,9671.5,9671.5,9574.0,9614.0,2402279.022,2020,2,22,12,5.0
1029,1582358400,185.397,9614.0,9652.0,9612.5,9633.5,1786021.9995,2020,2,22,16,5.0
1030,1582372800,212.45,9633.5,9659.5,9626.0,9635.0,2046955.75,2020,2,22,20,5.0
1031,1582387200,77.494,9635.0,9674.5,9635.0,9671.0,749444.474,2020,2,23,0,6.0
1032,1582401600,71.16,9671.0,9693.5,9671.0,9685.0,689184.6,2020,2,23,4,6.0
1033,1582416000,119.295,9685.0,9746.0,9685.0,9746.0,1162649.07,2020,2,23,8,6.0
1034,1582430400,564.583,9746.0,9923.0,9746.0,9891.5,5584572.7445,2020,2,23,12,6.0
1035,1582444800,546.43,9891.5,10002.0,9835.0,9835.0,5374139.05,2020,2,23,16,6.0
1036,1582459200,64.08,9835.0,9910.5,9835.0,9910.5,635064.84,2020,2,23,20,6.0
1037,1582473600,38.22,9910.5,9910.5,9868.5,9899.5,378358.89,2020,2,24,0,0.0
1038,1582488000,394.662,9899.5,9963.0,9857.0,9963.0,3932017.506,2020,2,24,4,0.0
1039,1582502400,1679.792,9963.0,9980.5,9587.0,9768.5,16409048.152,2020,2,24,8,0.0
1040,1582516800,200.196,9768.5,9768.5,9700.0,9748.5,1951610.706,2020,2,24,12,0.0
1041,1582531200,327.809,9748.5,9799.0,9719.5,9799.0,3212200.391,2020,2,24,16,0.0
1042,1582545600,775.768,9799.0,9835.5,9700.0,9700.5,7525337.484,2020,2,24,20,0.0
1043,1582560000,716.919,9700.5,9728.0,9507.0,9632.5,6905722.2675,2020,2,25,0,1.0
1044,1582574400,434.32,9632.5,9669.5,9585.5,9669.5,4199657.24,2020,2,25,4,1.0
1045,1582588800,205.96,9669.5,9674.0,9578.0,9587.5,1974641.5,2020,2,25,8,1.0
1046,1582603200,440.4,9587.5,9613.0,9508.5,9534.5,4198993.8,2020,2,25,12,1.0
1047,1582617600,4064.728,9534.5,9600.0,9509.0,9599.0,39017324.072,2020,2,25,16,1.0
1048,1582632000,4732.419,9599.0,9673.0,9382.5,9395.5,44463442.7145,2020,2,25,20,1.0
