"","id","symbol","period","interval","start_at","open_time","volume","open","high","low","close","turnover","year","month","day","hour","weekday","shifted"
"144",3875143,"BTCUSDT",240,240,1584000000,1584000000,9275.463,7388.5,7460,5519,6019,55829011.797,2020,3,12,16,3,6117.5
"145",3875643,"BTCUSDT",240,240,1584014400,1584014400,5337.219,6019,6262,5704.5,6117.5,32650437.2325,2020,3,12,20,3,6003
"146",3876096,"BTCUSDT",240,240,1584028800,1584028800,4725.47,6117.5,6203.5,5948.5,6003,28366996.41,2020,3,13,0,4,4781
"147",3876639,"BTCUSDT",240,240,1584043200,1584043200,6543.478,6003,6027,4442,4781,31284368.318,2020,3,13,4,4,5137
"148",3877138,"BTCUSDT",240,240,1584057600,1584057600,8367.404,4781,5454,3777.5,5137,42983354.348,2020,3,13,8,4,5360
"149",3877656,"BTCUSDT",240,240,1584072000,1584072000,5172.322,5137,5420,4677,5360,27723645.92,2020,3,13,12,4,5372
"150",3878154,"BTCUSDT",240,240,1584086400,1584086400,5496.661,5360,5641,5102,5372,29528062.892,2020,3,13,16,4,5186
"151",3878663,"BTCUSDT",240,240,1584100800,1584100800,5359.4,5372,5906.5,4907.5,5186,27793848.4,2020,3,13,20,4,5356
"152",3879155,"BTCUSDT",240,240,1584115200,1584115200,5570.8,5186,5462,4800,5356,29837204.8,2020,3,14,0,5,5549.5
"153",3879657,"BTCUSDT",240,240,1584129600,1584129600,5235.13,5356,5666.5,5230,5549.5,29052353.935,2020,3,14,4,5,5544
"154",3880171,"BTCUSDT",240,240,1584144000,1584144000,5168.442,5549.5,5600.5,5293,5544,28653842.448,2020,3,14,8,5,5470.5
"155",3880685,"BTCUSDT",240,240,1584158400,1584158400,4444.665,5544,5544,5364,5470.5,24314539.8825,2020,3,14,12,5,5422
"156",3881209,"BTCUSDT",240,240,1584172800,1584172800,5286.428,5470.5,5470.5,5151,5422,28663012.616,2020,3,14,16,5,5290
"157",3881715,"BTCUSDT",240,240,1584187200,1584187200,5072.32,5422,5422,5247,5290,26832572.8,2020,3,14,20,5,5353
"158",3882218,"BTCUSDT",240,240,1584201600,1584201600,5047.72,5290,5456,5231.5,5353,27020445.16,2020,3,15,0,6,5156
"159",3882729,"BTCUSDT",240,240,1584216000,1584216000,5094.18,5353,5389,5047,5156,26265592.08,2020,3,15,4,6,5149
"160",3883214,"BTCUSDT",240,240,1584230400,1584230400,5058.7,5156,5233,5068,5149,26047246.3,2020,3,15,8,6,5250
"161",3883739,"BTCUSDT",240,240,1584244800,1584244800,5055.81,5149,5305,5149,5250,26543002.5,2020,3,15,12,6,5397
"162",3884237,"BTCUSDT",240,240,1584259200,1584259200,4575.552,5250,5440.5,5181,5397,24694254.144,2020,3,15,16,6,5304
"163",3884751,"BTCUSDT",240,240,1584273600,1584273600,4988.56,5397,5553.5,5226,5304,26459322.24,2020,3,15,20,6,5290
"164",3885245,"BTCUSDT",240,240,1584288000,1584288000,5091.42,5304,5350,5223,5290,26933611.8,2020,3,16,0,0,5341
"165",3885759,"BTCUSDT",240,240,1584302400,1584302400,5314.64,5290,5905,5157,5341,28385492.24,2020,3,16,4,0,5242
"166",3886278,"BTCUSDT",240,240,1584316800,1584316800,4880.673,5341,5341,5159,5242,25584487.866,2020,3,16,8,0,4800.5
"167",3886778,"BTCUSDT",240,240,1584331200,1584331200,8519.518,5242,5268,4726,4800.5,40897946.159,2020,3,16,12,0,4542
"168",3887309,"BTCUSDT",240,240,1584345600,1584345600,7977.717,4800.5,4913,4000,4542,36234790.614,2020,3,16,16,0,5148
